arrest_id,has_felony_charge
2602657,False
2605888,False
2606702,False
2606790,False
2607054,False
2607687,True
2608218,True
2608295,False
2609881,False
2609925,False
2609967,False
2610435,False
2610495,False
2610535,False
2610723,True
2610755,False
2610778,False
2610822,False
2610823,False
2610847,False
2610852,False
2610907,False
2611218,False
2611259,False
2611779,False
2612403,True
2612442,False
2613201,False
2613453,False
2615383,False
2615592,False
2615862,False
2616215,False
2616534,False
2616649,False
2619279,False
2619810,False
2620555,False
2620607,True
2620713,False
2620886,True
2621093,False
2622182,False
2622562,False
2622759,False
2623018,False
2623138,False
2624035,False
2625844,True
2626303,False
2626526,False
2626925,False
2626950,False
2627143,False
2627156,False
2627220,False
2627824,False
2627837,False
2627970,False
2628246,False
2628965,False
2629777,True
2631376,False
2631870,False
2632105,False
2633423,False
2634153,False
2634806,False
2635109,False
2637742,False
2637914,False
2638282,False
2638392,False
2639218,False
2639458,False
2641496,False
2643963,False
2644066,False
2644318,False
2644408,False
2644442,False
2644499,False
2644565,False
2645539,False
2645647,False
2645750,False
2647096,False
2648699,False
2649470,False
2649713,False
2649889,False
2650886,False
2651017,False
2651163,False
2651318,False
2652287,True
2652500,False
2652764,False
2652957,False
2653182,False
2653523,False
2653930,False
2654067,False
2654074,False
2654193,True
2654318,False
2654357,False
2654665,False
2654998,False
2655028,False
2655353,False
2656645,False
2662156,False
2662467,False
2662637,True
2662896,False
2663002,False
2663684,False
2663912,False
2664667,False
2665575,False
2665655,False
2665879,True
2668238,False
2668452,False
2668497,False
2669707,False
2671082,False
2671448,False
2674367,False
2675330,False
2677993,False
2678867,False
2679948,False
2679984,False
2680063,False
2680092,False
2680156,False
2680174,False
2680258,False
2680289,False
2680335,False
2680388,False
2681157,False
2681513,False
2681740,False
2681886,False
2682041,False
2682079,False
2682133,False
2682517,False
2682627,False
2683161,False
2683194,False
2683396,False
2684707,False
2685801,False
2686037,False
2686931,False
2686948,False
2689601,False
2689844,False
2690521,False
2690897,False
2690978,False
2690989,False
2691536,False
2691769,False
2691811,False
2692285,False
2693272,False
2694463,False
2695359,False
2696648,False
2696697,False
2697812,True
2699018,False
2699784,False
2700310,False
2700981,False
2702478,False
2702489,False
2704166,False
2705520,False
2707435,False
2709069,False
2710616,False
2710657,False
2710675,False
2710799,False
2710863,True
2711004,False
2711044,False
2712165,False
2712229,False
2712508,False
2712568,False
2712775,False
2712835,True
2712920,False
2712943,False
2712970,False
2713473,False
2713560,False
2714003,False
2714013,False
2714055,True
2714056,False
2714097,False
2714363,False
2714609,False
2714668,False
2714774,False
2715086,False
2715472,False
2716256,True
2716538,False
2716670,False
2717886,False
2718860,False
2719065,False
2719253,True
2720914,False
2721097,False
2721259,False
2723262,True
2723345,False
2724429,False
2724878,False
2725427,False
2725809,False
2725928,False
2726347,False
2726570,False
2727231,False
2727789,False
2728042,True
2728993,False
2729663,True
2729667,False
2731580,False
2733018,False
2733355,False
2733799,False
2733803,False
2735598,True
2736057,False
2736214,False
2736269,False
2736409,False
2736670,False
2737287,False
2737597,False
2739040,False
2739281,False
2743261,False
2744559,False
2745568,False
2745793,False
2745797,False
2745813,False
2745898,False
2745904,False
2745944,False
2746018,False
2746030,False
2746074,False
2746161,False
2746211,False
2746534,False
2746587,False
2747452,False
2747480,False
2747485,False
2747494,False
2747524,False
2747561,True
2747793,False
2747805,False
2747816,False
2747837,False
2748492,False
2748839,False
2749436,False
2749879,False
2750301,True
2750750,False
2751530,False
2751729,True
2753189,False
2753463,False
2753465,False
2753495,False
